action,entity,id,campaign,ad_group,target,old_bid,new_bid,baseline_bid,escalated,clicks,spend,sales,orders,reason
changed,Keyword,281188428829549,NS - SP - Phrase - Mizu,All Products,cutting board,0.62,0.46,0.59,yes,133.0,91.4,167.8,4.0,"High ACOS (54% > target 15%, extreme): bid trimmed up to 25% [baseline ROAS (ROAS 1.84 < 3.5 & spend $91.40 in [30,100]) would be -5% — escalated to ACOS analysis, extreme tier] [note: engine set 0.60 on 2026-07-16, file now shows 0.62 — bid was changed outside the engine]"
changed,Product targeting,506244454763513,SP - Product Target - All Products,SP - Product Target - Our Cutting Boards,"asin=""B09FTKLDJC""",1.4,1.68,1.47,yes,26.0,19.01,1054.35,4.0,"Low ACOS (2% <= 12% threshold, extreme): bid +20% [baseline ROAS (ROAS 55.46 > 4.5) would be +5% — escalated to ACOS analysis, extreme tier] [note: engine set 1.60 on 2026-07-16, file now shows 1.40 — bid was changed outside the engine]"
changed,Product targeting,444555453371456,SP - Auto - Business Only - All Cutting Boards,SP - Auto - Business Only - All Cutting Boards,close-match,1.38,1.66,1.45,yes,24.0,40.99,693.75,5.0,"Low ACOS (6% <= 12% threshold, extreme): bid +20% [baseline ROAS (ROAS 16.92 > 4.5) would be +5% — escalated to ACOS analysis, extreme tier] [note: engine set 1.57 on 2026-07-16, file now shows 1.38 — bid was changed outside the engine]"
changed,Keyword,323198626550228,NS - SP - Phrase - Walnut,Generic Walnut,walnut cutting board,0.7,0.84,0.73,yes,23.0,18.37,489.9,2.0,"Low ACOS (4% <= 12% threshold, extreme): bid +20% [baseline ROAS (ROAS 26.67 > 4.5) would be +5% — escalated to ACOS analysis, extreme tier] [note: engine set 0.80 on 2026-07-16, file now shows 0.70 — bid was changed outside the engine]"
held,Keyword,313391642492023,NS - SP - Phrase - All Cutting Boards,All Products,cutting boards,0.75,0.75,0.79,no,337.0,316.8,1478.35,13.0,"HELD (cooldown): changed 4d ago (0.75 -> 0.68), report window still overlaps that change — waiting 7d unless extreme [note: engine set 0.68 on 2026-07-16, file now shows 0.75 — bid was changed outside the engine]"
held,Keyword,458066447727787,NS - SP - Phrase - All Cutting Boards,All Products,hardwood cutting board,1.3,1.3,1.37,no,28.0,40.44,214.9,2.0,"HELD (cooldown): changed 4d ago (1.40 -> 1.05), report window still overlaps that change — waiting 7d unless extreme [note: engine set 1.05 on 2026-07-16, file now shows 1.30 — bid was changed outside the engine]"
held,Keyword,535332421715329,NS - SP - Phrase - All Cutting Boards,All Products,cutting boards for kitchen,0.79,0.79,0.83,no,23.0,23.53,149.9,2.0,"HELD (cooldown): changed 4d ago (0.75 -> 0.68), report window still overlaps that change — waiting 7d unless extreme [note: engine set 0.68 on 2026-07-16, file now shows 0.79 — bid was changed outside the engine]"
held,Product targeting,198126899556260,SP - Auto - Low Bid - CA,Cutting Boards,loose-match,1.12,1.12,1.18,no,159.0,216.66,1177.45,11.0,"HELD (cooldown): changed 4d ago (1.12 -> 1.01), report window still overlaps that change — waiting 7d unless extreme [note: engine set 1.01 on 2026-07-16, file now shows 1.12 — bid was changed outside the engine]"
held,Keyword,314251560857575,NS - SP - Phrase - Maple,Generic Maple,maple wooden cutting boards,2.04,2.04,2.14,no,32.0,59.02,278.8,4.0,"HELD (cooldown): changed 4d ago (2.20 -> 1.65), report window still overlaps that change — waiting 7d unless extreme [note: engine set 1.65 on 2026-07-16, file now shows 2.04 — bid was changed outside the engine]"
held,Keyword,46315621054935,NS - SP - Phrase - Mizu,All Products,wood cutting board,0.75,0.75,0.79,no,51.0,42.95,268.8,4.0,"HELD (cooldown): changed 4d ago (0.71 -> 0.75), report window still overlaps that change — waiting 7d unless extreme"
held,Keyword,365649805306775,SP - Manual - Phrase - End Grain Butcher Block,End Grain Butcher Block,end grain cutting board,0.83,0.83,0.87,no,44.0,43.4,499.9,2.0,"HELD (cooldown): changed 4d ago (0.79 -> 0.95), report window still overlaps that change — waiting 7d unless extreme [note: engine set 0.95 on 2026-07-16, file now shows 0.83 — bid was changed outside the engine]"
held,Product targeting,383587839339382,SP - Product Target - John Boos,SP - Product Target - John Boos Maple M,"asin=""B00063QBF4""",1.19,1.19,1.25,no,24.0,18.94,189.95,1.0,"HELD (cooldown): changed 4d ago (1.13 -> 1.36), report window still overlaps that change — waiting 7d unless extreme [note: engine set 1.36 on 2026-07-16, file now shows 1.19 — bid was changed outside the engine]"
